subject,age,sex,percent_stat,percent_movie
temple079,10.79,M,1,0.166552823
temple111,12.29,F,1,0.14571949
temple121,10.94,M,1,0.380350638
temple090,12.52,F,1,0.420765027
temple083,12.89,M,1,0.266848816
temple110,12.74,F,1,0.402436248
temple103,12.21,M,1,0.389230419
temple128,10.7,F,1,0.190459927
temple094,8.38,F,1,0.338114754
temple117,10.65,F,0.96875,0.334357923
temple131,12.42,M,0.96875,0.173497268
temple091,11.28,F,0.9375,0.347563752
temple114,8.8,F,0.9375,0.303392532
temple093,10.28,M,0.90625,0.469945355
temple109,11.76,F,0.90625,0.358265027
temple107,9.14,F,0.875,0.245901639
temple063,10.72,F,0.78125,0.222677596
temple066,9.97,F,0.75,0.349499089
temple113,9.91,M,0.75,0.032786885
temple129,9.09,F,0.71875,0.494535519
temple096,11.4,M,0.71875,0.242258652
temple095,8.04,M,0.6875,0.058060109
temple112,10.3,M,0.6875,0.312272313
temple122,8.49,F,0.6875,0.305441712
temple098,8.44,M,0.65625,0.173497268
temple097,7.8,F,0.65625,0.215733151
temple068,9.76,M,0.625,0.362704918
temple060,10.07,M,0.59375,0.175432605
temple126,10.2,M,0.5625,0.130578324
temple132,9.22,F,0.5625,0.087090164
temple115,7.33,F,0.53125,0.184198543
temple069,9.67,M,0.5,0.324225865
temple070,7.47,M,0.5,0.139458106
temple064,7.36,M,0.46875,0.066256831
temple136,7.25,M,0.46875,0.112363388
temple065,9.45,F,0.4375,0.202527322
temple082,11.37,M,0.4375,0.244763206
temple084,8.77,F,0.4375,0.368966302
temple135,7.09,F,0.4375,0.166666667
temple092,8.87,F,0.375,0.090846995
temple130,8.04,F,0.34375,0.459016393
temple085,11.46,F,0.34375,0.213228597
temple116,7.16,F,0.34375,0.208333333
temple125,8.75,F,0.3125,0.333105647
